contract_id,source_id,page_or_section,doc_locator_as_seen,equipment_scope,work_stage,operation_phase,variable_name,measurement_height,temporal_support,averaging_interval,start_limit,continuation_limit,unit,threshold_basis_DOCUMENTED_or_ASSUMED,evidence_class,required_duration,duration_source,safe_terminal_state,interruption_permitted,failure_response,recovery_duration_source,resource_hold_during_pause,transfer_scope,sensitivity_range,reviewer_attack_risk,mitigation,evidence_grade,measurement_height_reference,open_issue,date_checked
OP02_segmental_epoxy_jointing,S27,"VDOT IIM-S&B-91, Sec. 453-5.7.2 items 2-4 and closing sentence; Sec. 453-5.2","Sec. 453-5.7.2 'Artificial Heating in Cold Weather': 'If electing to erect segments in cold weather when the substrate temperature of the mating concrete surfaces is below 40 degrees F, an artificial environment may be used ... 2. Raise the temperature of the concrete substrate across the entire joint surface to at least 40 degrees F. 3. ... not exceeding 95 degrees F at any point ... 4. Maintain the temperature of the substrate surfaces between 40 degrees F and 95 degrees F for at least 24 hours after joining the surfaces.' Closing: 'Epoxy jointing operations may proceed if the air temperature is above 45 degrees F and rising and the limitations above are met.' Sec. 453-5.2 requires the surfaces to be free of free moisture: 'Free moisture will be considered present if a dry rag, after being wiped over the surface, becomes damp.'","joint in an artificial heated enclosure, cold weather",jointing and post-join cure hold,POST_JOIN_CURE_HOLD,post-join substrate temperature hold,see measurement_height_reference,24-hour continuous hold after joining,continuous hold; no averaging window specified,40,95,degrees F,DOCUMENTED,DOCUMENTED_LIMIT,"at least 24 hours after joining the surfaces, with substrate between 40 and 95 degrees F, and air temperature above 45 degrees F and rising at the start",Sec. 453-5.7.2 item 4 (24 hours); closing sentence (45 degrees F and rising),joint cured with the substrate held in the 40-95 degrees F band for the full 24 hours; no free moisture on the faces at any application step,NO; dropping below 40 degrees F inside the hold invalidates the jointing operation,"maintain the enclosure and the substrate band; if the band cannot be held, the operation must not proceed",the 24 hours is itself the documented hold; no separate re-work duration is specified for a failed hold other than the Sec. 453-5.8 separate-clean-wait-24 h route,"DOCUMENTED: enclosure, heating plant, erection equipment contact pressure and crew are held for 24 hours",gives the simulation a genuine multi-hour resource hold with a documented duration,sweep the hold 12 / 24 / 36 hours (24 h documented; 12 h and 36 h are stress-test values only),"MEDIUM: the 24-hour hold binds resources for a day, so any simulated 'gain' from better forecasting could be an artefact of the hold model rather than of the forecast","make the hold a first-class resource-occupancy constraint in the schedule model, not a cost penalty, and report results with the hold swept",PRIMARY_OWNER_SPECIFICATION_TEXT_SEEN,concrete mating surfaces inside the enclosure,"the artificial-heating route is optional, so the 24-hour hold applies only when it is elected",2026-09-15
OP03_concrete_placement_delivery,S28,"GB 50666-2011, Sec. 8.1.2; invoked again by Sec. 10.3.5","GB 50666-2011 (Code for construction of concrete structures), Sec. 8.1.2: '混凝土拌合物入模温度不应低于5℃，且不应高于35℃。' (the temperature of the concrete mixture at placing shall not be lower than 5 degrees C and shall not be higher than 35 degrees C). Sec. 10.3.5 refers back: '混凝土拌合物入模温度应符合本规范第8.1.2条的规定。' The Sec. 10.3.5 commentary states the 35 degrees C cap is consistent with Sec. 8.1.2.","cast-in-place and precast concrete, fresh concrete mixture",concrete placement (placing into the form),PLACING_TEMPERATURE_GATE,concrete mixture temperature at placing (入模温度),see measurement_height_reference,at the moment of placing; a per-truck / per-placement measurement (Sec. 10.2.18),instantaneous mixture temperature; Sec. 10.2.18 requires measurement during placing,5,5,degrees C,DOCUMENTED,DOCUMENTED_LIMIT,"must hold for the whole continuous placement; Sec. 10.3.6 requires continuous placing in hot weather, and Sec. 10.2.10 requires the already-placed layer to stay at or above 2 degrees C before it is covered",Sec. 10.2.10 (2 degrees C layer floor) and Sec. 10.3.6 (continuous placing),"placed, compacted, and surface protected against wind, moisture loss and heat (Sec. 10.2.14, Sec. 10.3.8)","yes, but the placed layer temperature must not fall below 2 degrees C before covering (Sec. 10.2.10)","5 degrees C is a lower bound on the mixture; the winter-concreting measures in Sec. 10.2 are the response (heated mixing water/aggregate, insulation, thermal calculation per JGJ/T 104)","Sec. 10.2.12 ties strength development to a freezing-critical strength, not to a wait time; no wait duration is given for resuming placement","the batching plant, trucks, pump and crew are held; Sec. 10.2.8 requires insulated transport and pump lines","a national code-level numeric limit for a material property, given as a mandatory 'shall not' clause","sweep the lower bound 2 / 5 / 10 degrees C (5 degrees C documented; 2 degrees C is the documented layer floor from Sec. 10.2.10, not the placing limit)","HIGH if misused: a reviewer will note that the project cannot observe the in-mix temperature from a weather forecast, so this limit is NOT forecastable","state explicitly that GB 50666 Sec. 8.1.2 is a material acceptance limit requiring a thermometer in the concrete, not a weather-variable threshold, and that the simulation can only use the Sec. 10.1.1 ambient trigger as its ex-ante signal",PRIMARY_NATIONAL_CODE_TEXT_SEEN,measured in the fresh concrete mixture; explicitly NOT ambient air temperature. The commentary to Sec. 10.3.5 contrasts it with the ambient-temperature trigger in 10.1.2.,the governing quantity is measured inside the material and cannot be derived from a forecast; only the ambient trigger in OP03-winter-trigger is forecastable,2026-09-15
OP03_concrete_placement_delivery,S28,"GB 50666-2011, Sec. 10.1.1 and its commentary; Sec. 10.1.2","GB 50666-2011 Sec. 10.1.1: '根据当地多年气象资料统计，当室外日平均气温连续5日稳定低于5℃时，应采取冬期施工措施；当室外日平均气温连续5日稳定高于5℃时，可解除冬期施工措施。' (when the outdoor daily mean air temperature is steadily below 5 degrees C for 5 consecutive days, winter construction measures shall be taken). Sec. 10.1.2: '当日平均气温达到30℃及以上时，应按高温施工要求采取措施。' (when the daily mean air temperature reaches 30 degrees C or above, hot-weather construction measures shall be taken). The Sec. 10.1.2 commentary records that the American definition is 24 degrees C, Japan and Australia 30 degrees C, and the Chinese railway guide 30 degrees C.",all concrete construction under GB 50666-2011,calendar / regime selection for the whole concreting operation,REGIME_TRIGGER,outdoor daily mean air temperature (winter and hot-weather triggers),see measurement_height_reference,multi-day: 5 consecutive days for the winter trigger; 1 day for the hot-weather trigger,"daily mean air temperature, evaluated over 5 consecutive days (winter) or 1 day (hot weather)",5,5,degrees C,DOCUMENTED,DOCUMENTED_LIMIT,5 consecutive days to enter or leave winter construction; 1 day for hot weather,Sec. 10.1.1 states the 5-day rule verbatim; its commentary notes the phrase was imported from meteorological practice,regime correctly selected; the matching Sec. 10.2 / 10.3 measures applied,yes; leaving the regime requires 5 consecutive days above 5 degrees C,Sec. 10.1.1 also requires emergency protection if the temperature plunges below 0 degrees C before the concrete has reached its freezing-critical strength,Sec. 10.1.1 gives the exit rule (5 consecutive days above 5 degrees C); no other recovery duration is given,"not applicable; this is a regime switch, not a pause",the ONLY multi-day hysteresis trigger found. It maps directly onto a date-window weather state in the simulation and is the strongest ex-ante forecastable signal in this contract.,sweep the trigger 3 / 5 / 7 consecutive days and 3 / 5 / 7 degrees C (5 days and 5 degrees C are documented; the others are stress tests only),"MEDIUM: the 5-day persistence rule has hysteresis, so a forecasting method that ignores it will look artificially bad, and one tuned to it will look artificially good",implement the trigger as an explicit state machine with entry and exit conditions and pre-register the entry/exit treatment; report the trigger sweep as a sensitivity axis,PRIMARY_NATIONAL_CODE_TEXT_SEEN,outdoor air temperature per the local meteorological record; height not specified in the code,the code does not fix the meteorological station or the spatial averaging of the daily mean,2026-09-15
OP03_concrete_placement_delivery,S28,"GB 50666-2011, Sec. 10.2.7",GB 50666-2011 Sec. 10.2.7: '混凝土拌合物的出机温度不宜低于10℃，入模温度不应低于5℃；预拌混凝土或需远距离运输的混凝土，混凝土拌合物的出机温度可根据距离经热工计算确定，但不宜低于15℃。' (the discharge temperature of the concrete mixture should not be below 10 degrees C and the placing temperature shall not be below 5 degrees C; for ready-mixed or long-haul concrete the discharge temperature may be set by thermal calculation but should not be below 15 degrees C).,concrete batching / delivery in winter construction,batching and delivery,DELIVERY_TEMPERATURE_GATE,concrete mixture discharge temperature (出机温度),see measurement_height_reference,per batch / per truck,instantaneous mixture temperature,10,10,degrees C,DOCUMENTED,DOCUMENTED_LIMIT,must hold for each delivered batch reaching the work face,Sec. 10.2.7 sets the discharge floor; Sec. 10.2.8 requires insulation of transport,placed concrete meeting the Sec. 8.1.2 placing window,not applicable,use the thermal calculation route to raise the discharge temperature; for ready-mixed or long-haul concrete the floor rises to 15 degrees C,not documented,transport and pump resources insulated and held (Sec. 10.2.8),shows that the code links an upstream batch temperature to a downstream placing temperature; the simulation can only use the documented NOTE that at a 10 degrees C discharge temperature the placing temperature may reach only 5 degrees C after transport,sweep the delivery decay 0 / 2.5 / 5 degrees C between discharge and placing (the code's commentary states 10 to 5 degrees C but gives no decay law),"HIGH: the code gives no thermal-decay model, so any simulated transport cooling is our construction, not a documented relation","treat transport cooling as an explicitly labelled ASSUMED transfer function with a swept coefficient, and never present it as a code requirement",PRIMARY_NATIONAL_CODE_TEXT_SEEN,"measured at the batching plant discharge, in the mixture",no documented transport-cooling law exists in the code; only the endpoint note does,2026-09-15
OP03_concrete_placement_delivery,S28,"GB 50666-2011, Sec. 10.4.4 and Sec. 10.4.6; commentary to Sec. 10.4.4",GB 50666-2011 Sec. 10.4.4: '雨期施工期间，除应采用防护措施外，小雨、中雨天气不宜进行混凝土露天浇筑，且不应进行大面积作业的混凝土露天浇筑；大雨、暴雨天气不应进行混凝土露天浇筑。' Sec. 10.4.6: '模板内和混凝土浇筑分层面出现积水时，应在排水后再浇筑混凝土。' The Sec. 10.4.4 commentary adds that before placing the weather situation should be checked in good time.,open-air concrete placing,open-air placement during rain periods,RAIN_GATE,rainfall intensity category,see measurement_height_reference,current and imminent rain state at the placing face,NOT_NUMERIC: the code uses the Chinese rainfall categories 小雨/中雨 (light/moderate rain) and 大雨/暴雨 (heavy rain/rainstorm) and gives no mm/h boundary in this clause,NO_NUMERIC_VALUE,NO_NUMERIC_VALUE,categorical (light/moderate vs heavy/rainstorm),"DOCUMENTED as a rule; NO DOCUMENTED NUMERIC THRESHOLD (the mm/h boundaries come from the separate national rainfall-intensity standard, which was not obtained)",NOT_OBTAINABLE,not stated,not stated in GB 50666-2011,"placing stopped, exposed concrete covered with plastic sheeting or equivalent (Sec. 10.4.9), formwork free of standing water (Sec. 10.4.6)",yes,light/moderate rain: should not place in the open and shall not start large-area open-air placing; heavy rain/rainstorm: shall not place in the open,"Sec. 10.4.5 requires a post-rain settlement check of the foundation and of formwork and falsework and remedial action if settlement exceeds the standard, but gives no duration","pump, crew and cover materials held; Sec. 10.4.3 requires rain protection of the placing face",a categorical rather than numeric gate; usable only if the simulation adopts a documented mm/h mapping from a separate rainfall-intensity standard,do NOT sweep a fabricated mm/h boundary. Either adopt a cited rainfall-intensity standard or model this gate as a binary rain / no-rain indicator declared as ASSUMED.,"HIGHEST single attack in this contract: the code's gate is categorical, so any mm/h number the paper uses would be invented","keep the gate categorical, declare the mm/h conversion ASSUMED with its source flagged as not obtained, and run the main experiment with rain disabled and enabled to show it does not carry the result",PRIMARY_NATIONAL_CODE_TEXT_SEEN,not applicable (categorical weather state),no mm/h boundary in GB 50666-2011; GB/T 28591 (wind scale) was fetched but is image-only and the rainfall-intensity standard was not obtained,2026-09-15
OP03_concrete_placement_delivery,S28,"GB 50666-2011, Sec. 10.2.15, 10.2.16, 10.2.10, 10.2.14, 10.3.6","Sec. 10.2.15 item 1: formwork and insulation may be removed only when the concrete has reached its freezing-critical strength and '混凝土表面温度不应高于5℃'. Sec. 10.2.16: '当混凝土表面温度与环境温度之差大于20℃时，拆模后的混凝土表面应立即进行保温覆盖。' Sec. 10.2.10: the already-placed layer '不得低于2℃' before being covered. Sec. 10.2.14 requires wind, moisture and heat protection of exposed surfaces after placing. Sec. 10.3.6 requires wind-break, shading and misting when the concrete moisture evaporation rate is high.","placed concrete, formwork stripping and curing",curing and formwork removal (striking),CURING_AND_STRIKING_GATE,surface-to-ambient temperature difference and layer temperature,see measurement_height_reference,during curing; until freezing-critical strength is reached,instantaneous readings; Sec. 10.2.18 requires measurement of ambient and internal temperature,20,20,degrees C (surface minus ambient difference),DOCUMENTED,DOCUMENTED_LIMIT,"until the concrete reaches its freezing-critical strength, defined in Sec. 10.2.12 as a percentage of design strength or an absolute MPa value depending on the method and temperature","Sec. 10.2.12 (strength), Sec. 10.2.16 (20 degrees C difference trigger)",formwork removed only when surface temperature is not above 5 degrees C AND the freezing-critical strength is reached; immediate insulation cover if the difference exceeds 20 degrees C,yes; curing must continue (Sec. 10.2.16) if the strength is not reached,continue curing and keep the insulation in place,"no duration is given; the criterion is a strength criterion, not a time criterion","the formwork, falsework and insulation are held","important negative evidence: Chinese winter concreting is governed by STRENGTH criteria, not by a fixed number of hours, so it cannot supply a clean duration parameter",sweep the difference trigger 15 / 20 / 25 degrees C (20 degrees C documented),"MEDIUM: a strength-based rather than time-based criterion forces the simulation to model maturity, which the current event engine does not do",either implement a documented maturity/strength model or exclude the striking stage from the weather-sensitive task set and say so explicitly,PRIMARY_NATIONAL_CODE_TEXT_SEEN,concrete surface temperature and ambient air temperature,converting a strength criterion into a task duration requires a maturity model that is not yet implemented,2026-09-15
OP01_tower_crane_segment_lift_CN,S35,GB 55034-2022 Sec. 3.4.7,"GB 55034-2022《建筑与市政施工现场安全卫生与职业健康通用规范》Sec. 3.4.7: '大型起重机械严禁在雨、雪、雾、霾、沙尘等低能见度天气时进行安装拆卸作业；起重机械最高处的风速超过9.0m/s时，应停止起重机安装拆卸作业。' (large lifting machinery must not be installed or dismantled in rain, snow, fog, haze or dust; when the wind speed at the highest point of the machine exceeds 9.0 m/s, crane installation and dismantling must stop)","large lifting machinery, installation and dismantling",crane installation / dismantling (NOT normal lifting),INSTALL_DISMANTLE_LIMIT,wind speed at the highest point of the machine (安装拆卸),see measurement_height_reference,at the moment of the installation/dismantling operation,NOT_STATED_BY_THE_CODE,9.0,9.0,m/s,DOCUMENTED,DOCUMENTED_LIMIT,not stated; a magnitude stop rule on a discrete operation,the code sets no duration for the installation/dismantling operation,"installation/dismantling suspended, machinery left in a stable secured configuration; GB 5144-2006 Sec. 6.3.4/6.8 requires free slewing plus rail clamping in the non-working state",yes; a discrete operation that can be suspended and resumed,"stop the installation/dismantling operation. Low-visibility weather (rain, snow, fog, haze, dust) independently prohibits the operation regardless of wind speed.",not documented,ASSUMED: the erection crew and crane hold,STRONGEST SINGLE SOURCE in this contract. GB 55034-2022 is a 强制性工程建设规范 (full-text mandatory technical code): every clause is mandatory and it prevails over the older JGJ/GB standards. It is the only code-level numeric wind limit found in any jurisdiction in this search.,"sweep 7.0 / 9.0 / 12.0 m/s. 9.0 m/s is the mandatory code value; 12.0 m/s is JGJ 196-2010 Sec. 4.0.9 and GB 5144-2006 Sec. 10.2, which the newer mandatory code supersedes.","LOW for the value, HIGH for scope: this limit governs INSTALLATION AND DISMANTLING, not ordinary lifting. A reviewer will attack the paper if 9.0 m/s is presented as a normal-lifting threshold.","label the phase INSTALL_DISMANTLE_LIMIT; keep it strictly out of the main-lift start rule; and use it in the paper as independent code-level evidence that state-dependent wind contracts are real, not as an ordinary-lifting limit",PRIMARY_MANDATORY_CODE_TEXT_SEEN,"起重机械最高处 -- at the highest point of the machine. This is a CODE-STATED height, which no manufacturer manual or European/UK source in this contract provides.",the code states the height but not the averaging interval,2026-09-15
OP01_tower_crane_segment_lift_CN,S36,JGJ 33-2012 Sec. 4.1.14 and Sec. 4.1.15; Ministry Announcement No. 1364,JGJ 33-2012《建筑机械使用安全技术规程》Sec. 4.1.14: '在风速达到 9.0m/s 及以上或大雨、大雪、大雾等恶劣天气时，严禁进行建筑起重机械的安装拆卸作业。' Sec. 4.1.15: '在风速达到 12.0m/s 及以上或大雨、大雪、大雾等恶劣天气时，应停止露天的起重吊装作业。重新作业前，应先试吊，并应确认各种安全装置灵敏可靠后进行作业。' Ministry Announcement No. 1364 lists Sec. 4.1.14 among the mandatory clauses (强制性条文).,"construction lifting machinery (tower cranes, hoists, mobile cranes)",open-air lifting (4.1.15) and installation/dismantling (4.1.14),CODE_LEVEL_LIFT_LIMIT,code-level wind speed limit for open-air lifting and for installation/dismantling,see measurement_height_reference,at the moment of the operation,NOT_STATED_BY_THE_CODE,9.0,12.0,m/s,DOCUMENTED,DOCUMENTED_LIMIT,not stated,"the code sets no duration, but Sec. 4.1.15 DOES impose a documented restart procedure: before resuming work, test-lift first and confirm every safety device is responsive and reliable",lifting stopped; restart only after a documented trial lift and safety-device check,"yes, with a documented restart procedure","at 9.0 m/s installation/dismantling is prohibited; at 12.0 m/s open-air lifting must stop; heavy rain, heavy snow and heavy fog stop it independently of wind","Sec. 4.1.15 requires a trial lift and a safety-device check before resuming, but states NO time. The project's restart delay therefore remains ASSUMED.",ASSUMED: crew and crane hold,"KEY FINDING for the paper's motivation: within ONE code, the installation/dismantling limit (9.0 m/s) is STRICTER than the open-air lifting limit (12.0 m/s). This is a real, citable, code-level instance of state-dependent wind limits. Caveat: they are two adjacent ACTIVITIES (dismantling vs production lifting), not two phases of one continuous activity, so this must NOT be described as a start/continuation asymmetry of a single operation.",sweep the lifting limit 9.0 / 12.0 / 16.5 / 20 m/s across jurisdictions,"MEDIUM: 12 m/s is far more restrictive than the 20 m/s manufacturer rating used for OP01, so a reviewer will ask which one the paper actually believes. There is also an in-code inconsistency: GB 5144-2006 Sec. 10.2 allows 13 m/s for the same installation activity.","do not silently pick one. Present the cross-jurisdiction spread (12 m/s CN code, 16.5 m/s UK industry, 20 m/s manufacturer) as the reason the threshold is a SWEPT parameter, and report the main result across that spread",PRIMARY_CODE_TEXT_SEEN,"the clause text states no height for these two clauses; the Sec. 4.1.14 tiaowen shuoming defines 风速 as '施工现场风速，包括地面和高耸设备高处风速' (site wind speed, including ground-level and elevated-equipment-height wind speed)",no averaging interval; and the 12 m/s lifting limit is a Chinese industry-standard value that does not automatically transfer to a European site or crane,2026-09-15
OP01_tower_crane_segment_lift_CN,S36,JGJ 33-2012 Sec. 8.10.8 and its tiaowen shuoming,"JGJ 33-2012 Sec. 8.10.8: '当风速达到 10.8m/s 及以上或大雨、大雾等恶劣天气应停止作业。' (concrete placing boom: stop work at wind speed of 10.8 m/s or above, or in heavy rain or heavy fog). The clause commentary treats 10.8 m/s as the lower bound of the Beaufort force 6 no-work wind speed.",concrete placing boom / distributor (布料机),concrete placing,CONCRETE_PLACING_WIND_LIMIT,wind speed limit for concrete placing with a boom,see measurement_height_reference,at the moment of placing,NOT_STATED_BY_THE_CODE,10.8,10.8,m/s,DOCUMENTED,DOCUMENTED_LIMIT,not stated,the clause sets no duration for the placing operation,"placing stopped, boom secured, concrete surface protected",yes,"stop work at 10.8 m/s or above, or in heavy rain or heavy fog",not documented,"ASSUMED: pump, crew and concrete supply held","the ONLY numeric WIND limit attached to a concrete-placing operation found in this search. It is an important negative result for OP03: the code limits the placing MACHINE by wind, but sets no numeric wind or evaporation limit on the concrete itself.",sweep 10.8 / 12.0 m/s,"LOW-MEDIUM: it is a machine limit, not a material limit. Presenting it as a concrete-material weather restriction would be wrong.",label it a placing-BOOM limit and state explicitly that GB 50666-2011 provides no numeric wind or evaporation threshold for concrete material behaviour (Sec. 10.2.14 and Sec. 10.3.6 are qualitative only),PRIMARY_CODE_TEXT_SEEN,no height stated in this clause,"no averaging interval; the clause is machine-specific, not material-specific",2026-09-15
OP01_tower_crane_segment_lift_CN,S37,"JGJ 196-2010 Sec. 3.4.8, Sec. 4.0.9, Sec. 4.0.16 and Sec. 2 scope commentary","JGJ 196-2010《建筑施工塔式起重机安装、使用、拆卸安全技术规程》Sec. 3.4.8: tower-crane installation (and dismantling via Sec. 5.0.4) requires the wind speed at the maximum height to be no greater than 12 m/s. Sec. 4.0.9: at 12 m/s or above, work must stop (normal use). Sec. 4.0.16: obstruction lights above 30 m; an anemometer is required when the jib root hinge point is above 50 m. Sec. 2 commentary: '顶升、加节、降节等工作均属于安装、拆卸范畴' (jacking, adding sections and removing sections all fall within the scope of installation and dismantling).",tower cranes specifically,installation/dismantling (incl. jacking and section changes) and normal use,TOWER_CRANE_SCOPED_LIMIT,tower-crane wind speed limit at maximum height,see measurement_height_reference,at the moment of the operation,NOT_STATED_BY_THE_CODE,12.0,12.0,m/s,DOCUMENTED,DOCUMENTED_LIMIT,not stated,the code sets no duration,operation stopped; anemometer monitoring continues,yes,"at 12 m/s or above, stop the operation",not documented,ASSUMED: crew and crane hold,"the only tower-crane-SPECIFIC code source found, and the only one that rules on scope: jacking and section changes are installation/dismantling, not normal use. That scope ruling is what makes the strICter 9.0 m/s mandatory limit in GB 55034-2022 applicable to climbing work.",sweep 9.0 / 12.0 / 13.0 m/s (GB 55034-2022 / JGJ 196-2010 / GB 5144-2006),"MEDIUM: three Chinese sources give three different numbers (9.0 mandatory, 12.0, 13.0). A reviewer can read that as the project cherry-picking.","state the code hierarchy explicitly: GB 55034-2022 is the later full-text mandatory code and prevails, so 9.0 m/s governs installation/dismantling; 12 and 13 m/s are recorded as superseded values and are used only as sensitivity bounds, never as the chosen limit",PRIMARY_CODE_TEXT_SEEN,最大高度处风速 / 最大安装高度处 -- wind speed at the maximum (installation) height of the machine. Anemometer required when the jib root hinge point is above 50 m.,no averaging interval; JGJ 196-2010 predates GB 55034-2022 and is partially superseded,2026-09-15
OP01_tower_crane_segment_lift_CN,S39,"GB 6067.1-2010 Sec. 9.6.1.1, Sec. 9.6.1.2 and Sec. 17.1 k)","GB 6067.1-2010《起重机械安全规程 第1部分：总则》Sec. 9.6.1.1: an anemometer must be installed on tall outdoor cranes at the windward position on the upper part of the crane. Sec. 9.6.1.2: tall outdoor cranes must have a wind alarm displaying 瞬时风速 (INSTANTANEOUS wind speed), alarming when the wind force exceeds the working-state design wind speed. Sec. 17.1 k): operation is not permitted when the wind speed exceeds the maximum working wind speed specified by the manufacturer.",lifting appliances generally,in-service operation and annunciation,MEASUREMENT_SEMANTICS,what the code's wind alarm actually measures,see measurement_height_reference,instantaneous,"INSTANTANEOUS wind speed (瞬时风速) per Sec. 9.6.1.2. This is the single most useful semantic finding in the whole search: the governing accident-prevention quantity in the Chinese lifting code chain is instantaneous, NOT a 10-minute mean.",NO_CODE_NUMBER,NO_CODE_NUMBER,n/a (semantics row),DOCUMENTED,DOCUMENTED_LIMIT,not applicable,not applicable,not applicable; this row fixes measurement semantics only,not applicable,"Sec. 17.1 k) prohibits operation above the manufacturer's maximum working wind speed, so the code again delegates the number rather than fixing one",not applicable,not applicable,"resolves the averaging-interval question in the NEGATIVE direction: three of the four crane-wind code families examined (CN instantaneous, DE delegated, US delegated) imply or state a short-duration quantity, and none states a 10-minute mean. This strengthens the conservative 'treat the forecast gust as governing' default.",not a numeric parameter; informs the avg_interval_treatment axis,"LOW as evidence. The risk is the opposite: over-reading it as proof that a 3-second gust is governing, which the code does NOT say.",state precisely what is documented (the alarm displays instantaneous wind speed) and what is not (no code specifies a 3-second or 10-minute averaging window for the LIMIT). A draft standard is recorded separately at S42 and must not be cited as binding,PRIMARY_CODE_TEXT_SEEN,"anemometer at the windward position on the upper part of the crane (Sec. 9.6.1.1) -- a code-stated MOUNTING POSITION, though not an exact height",instantaneous display does not by itself define the averaging window of the limit value,2026-09-15
OP01_tower_crane_segment_lift_CN,S40,JGJ 80-2016 Sec. 3.0.8 and its tiaowen shuoming,"JGJ 80-2016《建筑施工高处作业安全技术规范》Sec. 3.0.8: work at height in the open -- climbing and suspended work -- must not be carried out in Beaufort force 6 or stronger wind, dense fog or sandstorm. The code's own commentary states: '6级以上强风指风速超过10.8m/s~13.8m/s的风' (wind of Beaufort force 6 or above means wind whose speed exceeds 10.8 m/s to 13.8 m/s).",all open-air work at height (not crane-specific),climbing and suspended work at height,WORK_AT_HEIGHT_STOP,Beaufort-force-based stop rule for work at height,see measurement_height_reference,at the moment of the work,"the code uses a Beaufort FORCE, which the Met Office (S30) defines on a mean wind speed with a stated limit band. The code's own conversion is 10.8-13.8 m/s.",10.8,13.8,m/s (code's own conversion of Beaufort force 6),DOCUMENTED,DOCUMENTED_LIMIT,not stated,the code sets no duration,work at height stopped; personnel descend or are secured,yes; work at height is intermittent by nature,do not carry out open-air climbing or suspended work at height,not documented,ASSUMED: crew held or redeployed,"the BROADEST scope of any wind stop rule found: it stops the work at height itself rather than a specific machine, and it is the only source that converts a Beaufort force to m/s inside the code itself. Its 10.8 m/s lower bound coincides exactly with JGJ 33-2012 Sec. 8.10.8 and with the Standard's Table 4-2 lower bound for force 6.",the code's own band is 10.8-13.8 m/s. Using 10.8 (the lower bound) is the conservative choice.,"LOW: the code supplies its own conversion. The residual risk is that a Beaufort FORCE is defined on a MEAN wind speed (S30), so this is the one Chinese rule that is arguably mean-based rather than gust-based -- the opposite of S39's instantaneous alarm.","use the code's own conservative lower bound 10.8 m/s, note that force 6 is mean-defined, and keep this in the sensitivity axis rather than as the primary lifting threshold",PRIMARY_CODE_TEXT_SEEN,site wind speed; no height stated for this clause,Beaufort force is mean-defined while the crane alarm in S39 is instantaneous; the two Chinese rules therefore rest on different averaging conventions,2026-09-15
HS2_segment_installation_BASELINE_ONLY,S05,"HS2 Learning Legacy technical account, lifting operations paragraph","HS2 Learning Legacy, 'A weather-resilient approach to construction: Lessons from Align Joint Venture on HS2' (S05); thresholds as previously extracted into outputs/operation_contract_details.csv and outputs/hs2_extracted.txt in this project","Align JV launch girder, Colne Valley Viaduct paired deck-segment installation",paired deck-segment installation,MAIN_LIFT,gust wind speed,see measurement_height_reference,NOT_ESTABLISHED,NOT_ESTABLISHED,11.1,20,m/s,"DOCUMENTED but secondary: a case-specific operational account, not a manufacturer manual or a standard",NOT_OBTAINABLE,NOT_ESTABLISHED,NOT_ESTABLISHED,"segment safely installed, then girder anchored where above-20 m/s winds are expected",source states it is safer to finish than to restart,NOT_ESTABLISHED above the continuation limit,NOT_ESTABLISHED,NOT_ESTABLISHED,RETAINED AS MOTIVATION ONLY. Do not apply 11.1/20 m/s to any crane; that warning is already recorded in protocol/AiC_详细执行方案_中文.md Sec. 3.1.,not swept; this row is not used to generate any experimental result,"HIGH if reused: the numbers have no stated instrument, height, averaging interval or duration, and a reviewer will call them arbitrary",keep this row in the table but exclude it from the machine-readable contract; OP01 source_id S23 (a manufacturer manual) and S24 (a trade-body recommendation) replace it,SECONDARY_CASE_ACCOUNT_NOT_ESTABLISHED,NOT_ESTABLISHED,superseded by OP01; retained only to show that the weak gate G2 has been closed,2026-09-15
