"cite_key","authors","year","title","venue","doi_or_url","verified_yes_no","evidence_level","object_and_scale","weather_data_used","forecast_latency_handled","calibration_target","decision_nonanticipatory_yes_no","metrics_used","what_it_does_NOT_do_that_this_project_does","threat_level_to_our_novelty"
"ursavas2017","Ursavas, E.","2017","A benders decomposition approach for solving the offshore wind farm installation planning at the North Sea","European Journal of Operational Research","https://doi.org/10.1016/j.ejor.2016.08.057","yes","abstract+metadata only","offshore wind farm installation planning and vessel logistics, North Sea","stochastic weather scenarios; weather windows for installation","unclear","none","unclear","installation cost; vessel utilisation; decomposition performance","use an as-issued archived NWP forecast with an explicit information set; calibrate at the operational threshold; report unsafe exceedance and regret","high"
"qu2026","Qu, S.; Yu, C.; Zhou, Y.; Hou, Y.; Wang, J.; Li, F.","2026","Optimization of Collaborative Vessel Scheduling for Offshore Wind Farm Installation Under Weather Uncertainty","Journal of Marine Science and Engineering","https://doi.org/10.3390/jmse14020223","yes","abstract+metadata only","offshore wind farm installation; collaborative multi-vessel scheduling","weather uncertainty scenarios","unclear","none","unclear","installation cost/makespan; collaborative scheduling gain","use real archived forecast runs with publication latency; report calibration quality and decision value; distinguish initiation from continuation rules","medium"
"mylne2002","Mylne, K. R.","2002","Decision-making from probability forecasts based on forecast value","Meteorological Applications","https://doi.org/10.1017/S1350482702003043","yes","abstract+metadata only","meteorological decision-making for a generic user decision problem","probability forecasts","no","decision threshold (value-based decision rule)","no (single-period expected-value decision rule)","relative economic value; value score","apply the value framework to a multi-activity construction schedule with resource coupling and continuation constraints","high"
"richardson2000","Richardson, D. S.","2000","Skill and relative economic value of the ECMWF ensemble prediction system","Quarterly Journal of the Royal Meteorological Society","https://doi.org/10.1002/qj.49712656313","yes","abstract+metadata only","ensemble prediction system evaluation for a generic cost-loss user","ECMWF ensemble forecasts","no","decision threshold (cost-loss ratio sweep)","no","relative economic value; ROC; cost-loss curves","map the cost-loss value framework onto engineering operation contracts and schedule-level outcomes","high"
"zhu2002","Zhu, Y.; Toth, Z.; Wobus, R.; Richardson, D.; Mylne, K.","2002","The Economic Value Of Ensemble-Based Weather Forecasts","Bulletin of the American Meteorological Society","https://doi.org/10.1175/1520-0477(2002)083<0073:TEVOEB>2.3.CO;2","yes","abstract+metadata only","ensemble forecast value across several user applications","ensemble forecasts","no","decision threshold (cost-loss)","no","relative economic value","extend decision-analytic forecast value to a scheduling decision with resource coupling","high"
"murphy1977","Murphy, A. H.","1977","The Value of Climatological, Categorical and Probabilistic Forecasts in the Cost-Loss Ratio Situation","Monthly Weather Review","https://doi.org/10.1175/1520-0493(1977)105<0803:TVOCCA>2.0.CO;2","yes","metadata only","prototype cost-loss decision problem","probability and categorical forecasts","no","decision threshold (cost-loss)","no","expected expense; value of forecasts","ESTABLISHES the origin of the finding that better forecast quality need not imply better decisions; our novelty claim must not rest on that insight","high"
"murphy1990","Murphy, A. H.; Ye, Q.","1990","Optimal Decision Making and the Value of Information in a Time-Dependent Version of the Cost-Loss Ratio Situation","Monthly Weather Review","https://doi.org/10.1175/1520-0493(1990)118<0939:ODMATV>2.0.CO;2","yes","metadata only","multi-period cost-loss decision problem","sequential forecasts","no","decision threshold (time-dependent cost-loss)","yes (sequential decision with information updating)","expected expense; value of information","apply sequential decision-value analysis to a construction schedule rather than a repeated single-asset protection problem","high"
"murphy1985b","Murphy, A. H.; Katz, R. W.; Winkler, R. L.; Hsu, W. R.","1985","Repetitive Decision Making and the Value of Forecasts in the Cost-Loss Ratio Situation: A Dynamic Model","Monthly Weather Review","https://doi.org/10.1175/1520-0493(1985)113<0801:RDMATV>2.0.CO;2","yes","metadata only","repeated cost-loss decisions over time","forecasts with temporal dependence","no","decision threshold (dynamic cost-loss)","yes (dynamic repeated decision)","expected expense over repetitions","transfer dynamic decision-value analysis to resource-coupled construction scheduling","medium"
"buizza2001","Buizza, R.","2001","Accuracy and Potential Economic Value of Categorical and Probabilistic Forecasts of Discrete Events","Monthly Weather Review","https://doi.org/10.1175/1520-0493(2001)129<2329:AAPEVO>2.0.CO;2","yes","metadata only","verification and value of discrete-event forecasts","ensemble/categorical forecasts","no","decision threshold","no","accuracy; potential economic value","apply the accuracy-versus-value distinction to a construction operation threshold on real archived forecast runs","high"
"jewson2020","Jewson, S.; Scher, S.; Messori, G.","2020","Decide Now or Wait for the Next Forecast? A Decision Framework Based on an Extension of the Cost-Loss Model","Preprint (MDPI Preprints) - peer-review status not verified","https://doi.org/10.20944/preprints202002.0217.v2","yes","abstract+metadata only (preprint; not confirmed as peer-reviewed)","meteorology: whether to decide now or wait for a better forecast","forecast updates","yes at the conceptual level (the entire point is deferral until the next forecast arrives)","decision threshold","yes (sequential decision with forecast availability)","expected cost of deciding now vs waiting","handle forecast timing with an archived latency-audited NWP product and a resource-constrained engineering schedule","medium"
"thompson1952","Thompson, J. C.","1952","On the Operational Deficiences in Categorical Weather Forecasts","Bulletin of the American Meteorological Society","https://doi.org/10.1175/1520-0477-33.6.223","yes","metadata only","meteorology: deficiencies of categorical forecasts","deterministic categorical forecasts","no","decision-relevant categorical outcome","no","operational deficiency measures","nothing; it defines the decision-oriented verification tradition this project sits inside, so threshold-focused verification is NOT a new concept","high"
"murphy1993","Murphy, A. H.","1993","What Is a Good Forecast? An Essay on the Nature of Goodness in Weather Forecasting","Weather and Forecasting","https://doi.org/10.1175/1520-0434(1993)008<0281:WIAGFA>2.0.CO;2","yes","metadata only","meteorology: quality-value framework","forecast systems","no","none","no","conceptual quality/value framework","nothing; this is the canonical statement that forecast quality and forecast value are distinct, so 'value of forecast' framing is not new","high"
"gneiting2007","Gneiting, T.; Balabdaoui, F.; Raftery, A. E.","2007","Probabilistic Forecasts, Calibration and Sharpness","Journal of the Royal Statistical Society Series B: Statistical Methodology","https://doi.org/10.1111/j.1467-9868.2007.00587.x","yes","abstract+metadata only","statistics/meteorology: calibration and sharpness theory","probability forecasts","no","none","no","calibration; sharpness; proper scoring rules","nothing; our calibration diagnostics are applications of this theory, not new theory","low"
"ebert2013","Ebert, E.; Wilson, L.; Weigel, A.; Mittermaier, M.; Nurmi, P.; Gill, P.; Göber, M.; Joslyn, S.; Brown, B.; Fowler, T.; Watkins, A.","2013","Progress and challenges in forecast verification","Meteorological Applications","https://doi.org/10.1002/met.1392","yes","metadata only","meteorology: state of the art in forecast verification","generic","no","none","no","review","nothing; it shows user-oriented and decision-oriented verification is an established field that our framing must cite rather than claim to open","medium"
"elmachtoub2022","Elmachtoub, A. N.; Grigas, P.","2022","Smart ""Predict, then Optimize""","Management Science","https://doi.org/10.1287/mnsc.2020.3922","yes","abstract+metadata only","operations research / machine learning: decision-focused prediction","not weather-specific","no","downstream decision loss","yes (decision-theoretic framing)","decision loss; SPO+ regret bound","apply the framework to a weather-to-schedule mapping with real archived forecasts; the conceptual claim that prediction accuracy is not decision value is already established here","high"
"hersbach2020","Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horányi, A.; Muñoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; Simmons, A.; Soci, C.; Abdalla, S.; Abellan, X.; Balsamo, G.; Bechtold, P.; Biavati, G.; Bidlot, J.; Bonavita, M.; De Chiara, G.; Dahlgren, P.; Dee, D.; Diamantakis, M.; Dragani, R.; Flemming, J.; Forbes, R.; Fuentes, M.; Geer, A.; Haimberger, L.; Healy, S.; Hogan, R. J.; Hólm, E.; Janisková, M.; Keeley, S.; Laloyaux, P.; Lopez, P.; Lupu, C.; Radnoti, G.; de Rosnay, P.; Rozum, I.; Vamborg, F.; Villaume, S.; Thépaut, J.-N.","2020","The ERA5 global reanalysis","Quarterly Journal of the Royal Meteorological Society","https://doi.org/10.1002/qj.3803","yes","metadata only","global atmospheric reanalysis dataset","ERA5 reanalysis","no (a reanalysis is not an as-issued forecast)","none","no","dataset description and evaluation","provide as-issued forecast runs; this citation supports the point that reanalysis evidence cannot substitute for forecast-vintage evidence","low"
