"cite_key","authors","year","title","venue","doi_or_url","verified","evidence_level","object_and_domain","weather_input","calibration_target","dataset_used","why_relevant","threat_level","how_we_differ"
"wu2022jmse","Wu, S.; Sun, H.; Li, X.","2022","Response of 5 MW Floating Wind Turbines to Combined Action of Wind and Rain","Journal of Marine Science and Engineering 10:284","https://doi.org/10.3390/jmse10020284","yes - Crossref /works/10.3390/jmse10020284 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","5 MW floating wind turbine: load response under the COMBINED action of wind and rain (Euler multiphase solver WARFoam; rain-load influence envelope)","Simulated wind and rain fields (no observation, no forecast)","None. Output is a structural load response and an influence-coefficient envelope","Own CFD solver and simulation cases","The only work found that physically couples wind AND rain as simultaneous loads; it shows the physical coupling is real and quantified, which is what makes a joint wind+rain operability criterion a defensible next step rather than a speculative one","low","Structural load physics on a single turbine. No forecast, no operational window, no decision, no calibration, no scheduling or economic evaluation"
"schulz2022mwr","Schulz, B.; Lerch, S.","2022","Machine Learning Methods for Postprocessing Ensemble Forecasts of Wind Gusts: A Systematic Comparison","Monthly Weather Review 150:235-257","https://doi.org/10.1175/mwr-d-21-0150.1","yes - Crossref /works/10.1175/mwr-d-21-0150.1 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Wind-gust ensemble postprocessing: systematic comparison of eight statistical and machine-learning methods (EMOS, member-by-member, isotonic distributional regression, gradient-boosting EMOS, quantile regression forests, three neural-network approaches)","High-resolution convection-permitting ENSEMBLE prediction system run operationally at the German weather service (DWD)","The MARGINAL gust distribution (calibrated probabilistic gust forecasts verified against observations)","6 years of operational ensemble forecasts + hourly observations at 175 German surface stations","The closest methodological neighbour found in this whole expansion: multi-year, multi-station, ensemble-based calibrated probabilistic GUST forecasting. A reviewer may ask why this paper uses a binned table on deterministic GFS instead of postprocessing an ensemble; the paper must answer that explicitly","high (closest methodological alternative to the repair the paper proposes)","Its target is the marginal gust distribution, not a decision event; there is no operational contract, no block/window maximum, no schedule, no exposure-miss accounting, no cost-loss value, and no forecast-publication latency audit. It answers 'how do we sharpen the gust probability', not 'does the planner's decision event become resolvable within the information actually available'"
"coburn2022waf","Coburn, J.; Pryor, S. C.","2022","Do Machine Learning Approaches Offer Skill Improvement for Short-Term Forecasting of Wind Gust Occurrence and Magnitude?","Weather and Forecasting 37:525-543","https://doi.org/10.1175/waf-d-21-0118.1","yes - Crossref /works/10.1175/waf-d-21-0118.1 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Skill improvement for short-term forecasting of wind-gust OCCURRENCE and MAGNITUDE using artificial neural networks vs regression, with an autoregressive term; model uncertainty via 1000 random 70/30 train-test subsets","ERA5 reanalysis geophysical predictors plus an autoregressive term","Gust occurrence probability and gust magnitude (marginal), not a decision event","ERA5 predictors + observations at three high-passenger-volume US airports","Provides the direct precedent that modelled gust OCCURRENCE PROBABILITIES improve with ML, which is adjacent to this paper's core move (thresholding a value versus estimating an event probability) and must be distinguished from it","medium","Marginal gust occurrence/magnitude at point locations; no operation, no window maximum, no contract threshold, no schedule, no calibration-of-decision-object, no economic value. It improves the forecast; this paper measures whether the DECISION becomes resolvable"
"benacek2023waf","Benacek, P.; Farda, A.; Stepanek, P.","2023","Postprocessing of Ensemble Weather Forecast Using Decision Tree–Based Probabilistic Forecasting Methods","Weather and Forecasting 38:69-82","https://doi.org/10.1175/waf-d-22-0006.1","yes - Crossref /works/10.1175/waf-d-22-0006.1 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Tree-based probabilistic postprocessing of ensemble forecasts (natural gradient boosting, quantile random forests, distributional regression forests) benchmarked against EMOS and its boosting version","ECMWF ensemble prediction, hourly 2 m temperature, lead times 1-10 days, Czech Republic domain","The conditional predictive distribution of 2 m temperature","ECMWF ensemble; training periods 2015-18 and 2018-only; skill evaluated on a held-out 2019","Its chronological hold-out design (train on earlier years, evaluate on a reserved later year) is exactly the evaluation discipline this paper claims, so it is a citable methodological precedent that also shows the discipline is standard - the novelty cannot rest on the split alone","medium","Target is temperature and is the marginal distribution, not a decision event; no operations or scheduling, no window, no cost-loss value, no forecast-availability audit. It supplies the hold-out precedent; this paper supplies the decision-event object and the availability boundary"
"kolios2023oceaneng","Kolios, A.; Richmond, M.; Koukoura, S.; Yeter, B.","2023","Effect of weather forecast uncertainty on offshore wind farm availability assessment","Ocean Engineering 285:115265","https://doi.org/10.1016/j.oceaneng.2023.115265","yes - Crossref /works/10.1016/j.oceaneng.2023.115265 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","full text read (open-access CC BY PDF retrieved this session; extracted text at sources/raw/g1x/fulltext/kolios2023_oceaneng.txt)","Offshore wind farm availability / O&M simulation: three forecast-modelling methods (Markov chains, gradient boosting, novel hybrid regression/statistical) generate wind and wave projections that feed an O&M simulation model over the wind-farm lifespan","SYNTHETIC forecast generators fitted to wind and wave data - not archived as-issued NWP","None. No probabilistic calibration of any event; the object is KPI sensitivity to forecast-modelling choice","Wind and wave records driving three forecast generators; O&M simulation model (own)","FULL TEXT READ THIS SESSION (CC BY, 14 pp). Keyword census of the extracted text: 'calibrat' 0, 'Brier' 0, 'cost-loss' 0, 'economic value' 0, 'latency' 0, 'issue time' 0; 'ensemble' occurs once and means gradient-boosting ensemble, not an ensemble forecast. It shows forecast uncertainty propagates into operability KPIs - and by omission it shows the calibration/availability/value layer is genuinely absent in this literature","medium (shows forecast uncertainty matters to operability, which constrains any 'we are first to care about forecast quality' framing)","Forecast generators, not an archived as-issued forecast archive; no publication latency; no calibration of a decision event (no Brier, no reliability); no economic value or cost-loss analysis; the decision object is annual availability, not a per-epoch attempt/decline decision"
"azcarate2017rene","Azcarate, C.; Mallor, F.; Mateo, P.","2017","Tactical and operational management of wind energy systems with storage using a probabilistic forecast of the energy resource","Renewable Energy 102:445-456","https://doi.org/10.1016/j.renene.2016.10.064","yes - Crossref /works/10.1016/j.renene.2016.10.064 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","metadata only","Wind energy systems with storage: tactical and operational management using a probabilistic forecast of the energy resource","Probabilistic wind-energy resource forecast","None stated at metadata level","Not verified (no full text retrieved)","Pre-2022 anchor for the pattern 'probabilistic forecast -> operational decision rule' in an energy-operations setting; useful for showing the pattern is established outside construction, which is where the paper's contribution has to be located","low","Energy storage dispatch, not a weather-sensitive physical operation with a contract threshold; no window event, no schedule replay, no cost-loss value analysis, no forecast-availability audit"
"hubbard2021firo","Hubbard, T.","2021","Economic Benefits of Forecast Informed Reservoir Operations (FIRO): Lake Mendocino Case-Study and Transferable Decision Support Tool","","https://doi.org/10.1002/essoar.10505717.1","yes - Crossref /works/10.1002/essoar.10505717.1 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only (preprint; peer-review status not verified)","Forecast-Informed Reservoir Operations (FIRO) at Lake Mendocino: five management scenarios evaluated on 16 metrics; water-availability difference between baseline and FIRO alternatives monetised across recreation, hydropower, municipal/industrial supply, agriculture and fisheries","Operational weather/streamflow forecasts incorporated into the water control plan","None probabilistic; the object is a scenario-based benefit difference, not a calibrated event probability","Hydrologic engineering analysis of Lake Mendocino operations; benefit transfer values for recreation, hydropower and water supply","The clearest located example of MEASURING THE ECONOMIC VALUE OF FORECAST INFORMATION FOR AN ENGINEERING OPERATION outside meteorology - exactly the category the audit was asked to fill. It also shows the standard of evidence that domain reviewers expect for a value claim","medium","Water-resources operations, not scheduling; the value is computed from a scenario/planning analysis rather than a non-anticipative replay over archived as-issued forecasts; no Brier/reliability; no cost-loss sweep; no exposure-miss accounting. PREPRINT: peer-review status NOT verified in this audit - cite only with that label"
"lin2026risa","Lin, X.; Yeo, J.","2026","From Forecast to Action: Public Employees’ Emergency Management Decision‐Making Under Probabilistic Weather Information","Risk Analysis 46:e70328","https://doi.org/10.1111/risa.70328","yes - Crossref /works/10.1111/risa.70328 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","abstract+metadata only","Two internally controlled experiments (n=324 general public; n=122 public employees) on how probabilistic low-probability/high-impact versus deterministic high-probability/low-impact weather information changes response measures, null-event tolerance and trust","Probabilistic (ensemble-derived) weather information as the treatment condition","None. Outcome variables are behavioural intentions, not a calibrated probability","Two controlled experiments with human participants","Evidence that probabilistic information CHANGES operational decisions and that asymmetric institutional error costs (unprepared disasters penalised more than overreactions) govern how much false-alarm tolerance a decision maker will accept. That is a citable justification for reporting an exposure-miss FRONTIER with an explicit risk setting rather than a single accuracy number","medium (behavioural, constrains how the risk setting should be argued)","Human decision-making under probabilistic information; no engineering operation, no forecast archive, no calibration, no schedule. It motivates the frontier framing; it does not perform or replace the measurement"
"sitthiyot2024mex","Sitthiyot, T.; Holasut, K.","2024","A method to improve binary forecast skill verification","MethodsX 13:103010","https://doi.org/10.1016/j.mex.2024.103010","yes - Crossref /works/10.1016/j.mex.2024.103010 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","metadata only","Methods note: a method to improve binary forecast skill verification","Generic binary forecast/observation pairs","Binary event verification score (methodological proposal)","Not verified (no full text retrieved); CC BY licence recorded by Crossref","Candidate alternative citation for the paper's binary verification of the block-exceedance event, and a caution that binary skill scoring has its own methodological literature that a verification-literate reviewer may invoke","low","Generic verification methodology; no engineering operation, no decision, no value, no forecast availability. Cite only if a specific scoring choice needs defending"
"rasp2024wb2","Rasp, S.; Hoyer, S.; Merose, A.; Langmore, I.; Battaglia, P.; Russell, T.; Sanchez-Gonzalez, A.; Yang, V.; Carver, R.; Agrawal, S.; Chantry, M.; Ben Bouallegue, Z.; et al.","2024","WeatherBench 2: A Benchmark for the Next Generation of Data‐Driven Global Weather Models","Journal of Advances in Modeling Earth Systems 16:e2023MS004019","https://doi.org/10.1029/2023MS004019","yes - Crossref /works/10.1029/2023MS004019 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","metadata only (DOI + venue + licence verified via Crossref and doi.org; not read)","WeatherBench 2: a community benchmark and evaluation protocol for data-driven and physics-based global weather models (deterministic and probabilistic metrics, baselines, open evaluation code and data)","Global NWP analyses and forecasts used as ground truth and baselines (IFS, GFS, ERA5)","Not a calibration target; the object is benchmarked forecast skill (RMSE, ACC, CRPS, spread-skill)","Open benchmark dataset and evaluation code; CC BY 4.0","Gives the paper a citable, community-standard way to state where the GFS gust field sits in forecast-skill terms, instead of relying only on its own raw-threshold detector table; also demonstrates the accepted practice of the spread-skill relationship, which is the language the ensemble extension would use","low (different spatial scale and object, but strengthens the methods framing)","It benchmarks hemispheric/global gridded forecast fields against analyses. It says nothing about a site-level operational threshold, forecast publication latency, a decision event, or economic value - this paper's contribution begins exactly where a benchmark score stops being decision-relevant"
"hamill2014bams","Hamill, T. M.; Bates, G. T.; Whitaker, J. S.; Murray, D. R.; Fiorino, M.; Galarneau, T. J.; Zhu, Y.; Lapenta, W.","2013","NOAA's Second-Generation Global Medium-Range Ensemble Reforecast Dataset","Bulletin of the American Meteorological Society 94:1553-1565","https://doi.org/10.1175/bams-d-12-00014.1","yes - Crossref /works/10.1175/bams-d-12-00014.1 + doi.org content negotiation, both 2026-09-15; OpenAlex unavailable (HTTP 429) this session","metadata only (DOI verified via Crossref + doi.org; project page fetched live)","NOAA's Second-Generation Global Medium-Range Ensemble Reforecast Dataset (GEFS Reforecast v2): dataset paper describing a long, consistent reforecast archive for ensemble applications","Archived as-issued GEFS ensemble reforecasts, re-run with a frozen model version","Not a calibration target; the object is the dataset and its verification","GEFS Reforecast v2 archive (NOAA/PSL), served at https://www.psl.noaa.gov/forecasts/reforecast2/ (URL verified live HTTP 200 on 2026-09-15)","The single most useful new DATA resource for a deeper study: a long reforecast archive is the only practical way to push past the paper's declared rare-event ceiling (19 positives at the 12 m/s mean-wind event; zero at 20 m/s) without waiting for more station years, and it supports a direct calibrated-deterministic vs ensemble comparison","low","A dataset and its verification. It provides no decision object, no operational threshold, no calibration of a decision event and no value analysis; it is an input to the deeper study this paper points at, not a competing result"
